Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707960085.3502374,2,2,19.188203125,396662,46.447754254234724,1010.1216173054506,26.07854200754182
1707960086.3634896,2,2,19.1846875,396896,46.64147827252792,1010.1525166777653,25.82064187203476
1707960087.3768094,2,2,19.19015625,397598,46.692243666673114,1010.1720228079605,25.657838176763153
1707960088.3901656,2,2,19.1966015625,396896,46.799573251140245,1010.1913924799879,25.496175918840464
1707960089.4034,2,2,19.19171875,397363,46.711228310714745,1010.1868331197334,25.534228813980587
1707960090.416697,2,2,19.1784375,399719,46.72849883164272,1010.1474497650871,25.86293217890176
1707960091.429992,2,2,19.17453125,402102,46.771934796269676,1010.137511311804,25.945882644685444
1707960092.4440744,1,1,19.1723828125,395499,46.84694789700332,1010.114744921042,26.135902904189987
1707960093.4574847,1,1,19.169453125,400193,46.87170295036712,1010.1029224946993,26.2345804542918
1707960094.4708655,1,1,19.1622265625,401863,46.92106469134919,1010.0979924366234,26.27573015615404
1707960095.484179,1,1,19.161640625,396196,46.93982517507181,1010.0778037790637,26.44424046386161
1707960096.4975185,1,1,19.1571484375,399719,47.0020798788654,1010.0808789377834,26.41857261076069
1707960097.5108106,1,1,19.151875,397129,47.02658403648425,1010.0704332197892,26.505761589124152
1707960098.5241096,1,1,19.14875,398773,47.082746198931275,1010.0827530453706,26.402929768485073
1707960099.5385325,1,1,19.1411328125,402102,47.08814225616466,1010.0719361474559,26.4932168126339
1707960100.5538673,1,1,19.1364453125,403305,47.09387907134506,1010.0589620754258,26.601510502151584
1707960101.5692155,1,2,19.140546875,402823,47.213754660582474,1010.0569903749408,26.617968249475187
1707960102.5839481,1,2,19.142109375,402102,47.257946681732406,1010.0473357318336,26.698555751710106
1707960103.5980403,1,2,19.143671875,403546,47.27699377446989,1010.0306913629051,26.837488101942395
1707960104.6125505,0,1,19.14875,407941,47.30903247651787,1010.0285826258663,26.855090090716992
1707960105.6265619,0,0,19.1540234375,406710,47.3348094112186,1010.0425228982826,26.73872880413347
1707960106.6410563,0,0,19.1524609375,409427,47.36608393514195,1010.0504303717868,26.6727246612059
1707960107.6549618,0,0,19.14484375,413951,47.38407083490543,1010.0448561984225,26.719252568145208
1707960108.6745343,0,0,19.133515625,411676,47.36387112129138,1010.0418979535021,26.74394527253674
1707960109.6886668,0,0,19.120625,414714,47.40641243791506,1010.0328672696176,26.819325467607182
1707960110.6998646,0,0,19.109296875,415225,47.45544048854951,1010.0246661618204,26.88778156499588
1707960111.7110543,0,0,19.10109375,412684,47.460776188403386,1010.0111355384006,27.00072505578531
1707960112.722271,0,0,19.0950390625,416508,47.416009245536415,1010.0098850992632,27.011162845204506
1707960113.7334726,0,0,19.096015625,417023,47.49165999727201,1010.0097486080585,27.01230217874354
1707960114.7446513,0,0,19.0966015625,417281,47.51061788649462,1010.0054732216521,27.04799019056403
1707960115.7567558,0,1,19.091328125,417798,47.59187758458291,1009.9967749971156,27.12059741828565
1707960116.7699292,1,2,19.088203125,421717,47.5852118576778,1009.9933677677826,27.14903893246707
1707960117.7832859,1,2,19.08234375,417798,47.609724700262134,1009.9889448397444,27.185959008298024
1707960118.7971494,1,2,19.0821484375,419879,47.66011141348649,1009.9868754364043,27.2032332497963
1707960119.8104322,0,1,19.0805859375,421190,47.64102287347645,1009.9860454295647,27.21016169868111
1707960120.8251855,0,1,19.0751171875,418576,47.690799726586235,1009.9892556475189,27.183364558324794
1707960121.838021,0,1,19.07140625,417539,47.7786306034501,1009.9901234898898,27.176120297615544
1707960122.8521662,0,1,19.0766796875,420927,47.842325841873944,1009.9935801567729,27.147266033833482
