Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712792312.0,0,0,50.5,3.0,5.0,5.0,27.11125,40.41450049123898,1004.7540165027025,70.97621109299331,248267.0
1712792313.97,0,0,46.5,3.0,5.0,5.0,27.14123046875,40.363820991136066,1004.7650681846953,70.88356912300281,249608.5
1712792316.03,0,0,45.5,3.0,4.0,4.0,27.17228515625,40.310273771454206,1004.7657752365756,70.87764223526486,251693.0
1712792317.97,0,0,54.5,3.0,4.0,4.0,27.20109375,40.26548302396954,1004.7628015019201,70.90256976187032,252513.0
1712792319.98,0,0,54.5,3.0,4.5,4.5,27.2282421875,40.24149527677973,1004.7692076237563,70.84887009661162,253159.0
1712792321.97,0,0,47.5,3.0,4.5,4.5,27.25470703125,40.22342676761929,1004.7736276648432,70.81181896221216,254274.0
1712792323.98,0,0,54.0,3.0,5.0,5.0,27.25470703125,40.22342676761929,1004.7736276648432,70.81181896221216,254274.0
1712792325.98,0,0,51.5,3.0,5.0,5.0,27.28400390625,40.217656751912685,1004.7731713083899,70.81564437744203,255588.0
1712792327.98,0,0,49.5,3.0,5.0,5.0,27.3137890625,40.181977509537624,1004.7761037210066,70.79106343824878,256248.0
1712792330.0,0,0,49.5,3.0,4.0,4.0,27.336640625,40.15153329141401,1004.7720073897715,70.82540094688477,256912.5
1712792331.97,0,0,41.5,3.0,4.0,4.0,27.3630078125,40.10949790052432,1004.7831720522215,70.7318133748986,258928.0
1712792333.99,0,0,43.0,3.0,4.0,4.0,27.3856640625,40.07604700383314,1004.7882614256164,70.68915205793817,259704.0
1712792335.97,0,0,40.5,3.0,4.0,4.0,27.403828125,40.039114672417305,1004.7929142114463,70.65015063277397,261270.5
1712792337.98,0,0,40.5,3.0,4.0,4.0,27.41251953125,40.02210515381496,1004.7820639800566,70.74110172027292,263155.0
1712792339.97,0,0,50.5,3.0,4.0,4.0,27.3997265625,39.95486067131439,1004.780149756076,70.75714761935097,264967.5
1712792342.0,0,0,56.0,3.0,4.0,4.0,27.3907421875,39.91498320721012,1004.7766865192734,70.78617812670112,266905.0
1712792343.97,0,0,46.5,3.0,4.0,4.0,27.3774609375,39.847734978104754,1004.7808887204037,70.75095327708638,268248.5
1712792346.0,0,0,41.5,3.0,4.5,4.5,27.360859375,39.78911988617426,1004.7805205517195,70.75403944046116,269920.5
1712792347.95,0,0,41.5,3.0,4.5,4.5,27.3555859375,39.74969170230975,1004.7814001649737,70.74666611490898,270974.5
1712792350.0,0,0,43.5,3.0,5.0,5.0,27.358417968749997,39.7081690588015,1004.7765250520916,70.78753163422869,270552.0
1712792351.97,0,0,45.5,3.0,5.0,5.0,27.36525390625,39.67605333048536,1004.7790670478435,70.76622338866824,271187.5
1712792353.99,0,0,51.0,3.0,4.0,4.0,27.367890625,39.64647248270374,1004.7721429594292,70.82426452737215,273218.0
1712792355.96,0,0,51.0,3.0,4.0,4.0,27.34630859375,39.644126280020394,1004.7731331807794,70.8159639887856,274082.0
1712792358.0,0,0,47.5,3.0,4.0,4.0,27.33849609375,39.68210375508902,1004.7707215752727,70.83617931052679,273757.0
